Nazwa produktu,price,1,2,3
"Laptop HP ZBook 14u G5 i5 - 7200U | 16GB 256GB SSD | 14"" 1920 x 1080 | Windows 11 [A-]",1199,b,a,b
"Laptop Panasonic Toughbook CF-53 i5 - 3340M | 8GB 500GB HDD | 14"" 1366 x 768 | Windows 10 Professional [A-]",899,b,b,b
"Laptop HP EliteBook 840 G3 i5 - 6300U | 16GB 128GB 500GB SSD+HDD | 14"" 1366 x 768 | Windows 10 Professional [A]",899,b,b,b
"Laptop Lenovo ThinkPad T460s i5 - 6300U | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 11 Pro [A]",899,b,b,b
"Laptop Dell Latitude 5490 i5 - 7300U | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 11 Pro [A]",900,b,b,b
"Laptop Dell Latitude 7480 i5 - 6300U | 16GB 512GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A]",949,b,b,b
"Laptop HP EliteBook 840 G3 i5 - 6300U | 16GB 128GB 500GB SSD+HDD | 14"" 1920 x 1080 | Windows 10 Professional [A]",949,b,b,b
"Laptop Dell Latitude 5480 i5 - 7300U | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 11 Pro [A]",949,b,b,b
"Laptop Panasonic Toughbook CF-53 i5 - 4310U | 8GB 500GB HDD | 14"" 1366 x 768 | Windows 10 Professional [A-]",999,b,b,b
"Laptop Dell Latitude E7470 i5 - 6300U | 16GB 480GB SSD | 14"" 2560 x 1440 | Windows 10 Professional [A]",999,b,b,b
"Laptop Dell Latitude E7470 i5 - 6300U | 8GB 512GB SSD | 14"" 1600 x 900 | Windows 10 Professional [Powystawowy]",999,b,b,b
"Laptop Dell Latitude 7480 i7 - 6600U | 16GB 512GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A]",1099,b,b,b
"Laptop Lenovo ThinkPad X1 Yoga 1 gen. i5 - 6200U | 8GB 240GB SSD | 14"" 2560 x 1440 | Windows 10 Professional [A]",1149,b,b,b
"Laptop Panasonic Toughbook CF-53 i5 - 3340M | 16GB 240GB SSD | 14"" 1366 x 768 | Windows 10 Professional [A]",1149,b,b,b
"Laptop Dell Latitude E7470 i5 - 6300U | 16GB 960GB SSD | 14"" 2560 x 1440 | Windows 10 Professional [A]",1149,b,b,b
"Laptop Lenovo ThinkPad X1 Yoga 2nd Generation i5 - 7300U | 8GB 256GB SSD | 14"" 2560 x 1440 | Windows 11 Pro [A]",1199,b,b,b
"Laptop Lenovo ThinkPad T440 i5 - 4300U | 8GB 240GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A]",1199,b,b,b
"Laptop Dell Latitude E7470 i5 - 6300U | 8GB 512GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [Powystawowy]",1199,b,b,b
"Laptop Panasonic Toughbook CF-53 i5 - 4310U | 16GB 240GB SSD | 14"" 1366 x 768 | Windows 10 Professional [A]",1249,b,b,b
"Laptop Dell Latitude 7480 i5 - 6300U | 32GB 1TB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A]",1249,b,b,b
"Laptop Dell Latitude 7480 i7 - 7600U | 16GB 512GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A]",1249,b,b,b
"Laptop Fujitsu LifeBook E780 i3 - 370M, | 8GB 120GB SSD | 15,6"" 1366 x 768 | Windows 10 Professional [A-]",349,c,b,a
"Laptop Dell Latitude E5520 i5 - 2410M | 16GB 120GB SSD | 15,6"" 1366 x 768 | Windows 10 Professional [A]",499,c,b,a
"Laptop Dell Latitude E5530 i5 - 3210M | 16GB 240GB SSD | 15,6"" 1366 x 768 | Windows 10 Professional [A-]",555,c,b,a
"Laptop Lenovo ThinkPad T550 i5 - 5200U | 8GB 240GB SSD | 15,6"" 1366 x 768 | Windows 10 Professional [A-]",575,c,b,a
"Laptop Fujitsu Lifebook E756 i5 - 6200U | 16GB 256GB SSD | 15,6"" 1920 x 1080 | Windows 10 lub 11 Professional [A-]",599,c,b,a
"Laptop Lenovo ThinkPad T560 i5 - 6200U | 16GB 256GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A-]",649,c,b,a
"Laptop HP ProBook 650 G2 i5 - 6200U | 8GB 120GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A-]",749,c,b,b
"Laptop Lenovo ThinkPad T560 i5 - 6200U | 16GB 256GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A]",749,c,b,b
"Laptop Lenovo ThinkPad T560 i5 - 6200U | 16GB 480GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A]",799,c,b,b
"Laptop Dell Latitude E5570 i5 - 6200U | 8GB 256GB SSD | 15,6"" 1366 x 768 | Windows 10 Professional [A-]",825,c,b,b
"Laptop HP ProBook 450 G5 i3 - 7100U | 8GB 256GB 320GB SSD+HDD | 15,6"" 1366 x 768 | Windows 10 Professional [A]",849,c,b,b
"Laptop Lenovo ThinkPad T550 i5 - 5200U | 16GB 240GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A]",849,c,b,b
"Laptop Dell Latitude 5580 i5 - 6200U | 8GB 256GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A-]",899,c,b,b
"Laptop Dell Latitude E5570 i5 - 6200U | 8GB 256GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A]",999,c,b,b
"Laptop Lenovo ThinkPad T570 i5 - 6300U | 16GB 480GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A]",999,c,b,b
"Laptop Dell Latitude 5580 i5 - 6200U | 8GB 256GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A]",1049,c,b,b
"Laptop Lenovo ThinkPad T540p i5 - 4200M | 8GB 240GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A-]",1049,c,b,b
"Laptop HP EliteBook 850 G3 i7-6500U,  | 8GB 120GB 320GB SSD+HDD | 15,6"" 1920 x 1080 | Windows 10 Professional [A-]",1099,c,b,b
"Laptop HP EliteBook 850 G3 i7-6500U,  | 8GB 120GB 320GB SSD+HDD | 15,6"" 1920 x 1080 | Windows 10 Professional [A]",1199,c,b,b
"Laptop Dell Latitude 5580 i5 - 7200U | 16GB 480GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A]",1199,c,b,b
"Laptop HP ProBook 650 G2 i7 - 6600U | 8GB 240GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A]",1299,c,b,b
"Laptop HP ProBook 650 G2 i7 - 6600U | 16GB 480GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A]",1539,c,b,c
"Laptop HP ProBook 650 G2 i7 - 6600U | 16GB 960GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A]",1759,c,b,c
"Laptop HP Chromebook 11 G8 (10X47EA#UUW) | 4GB 32GB SSD | 11,6"" 1366 x 768 | Chrome OS [A-]",249,a,b,a
"Laptop HP Chromebook 11 G9 EE | 8GB 64GB | 11,6"" 1366 x 768 | Chrome OS [A-]",375,a,b,a
"Laptop HP EliteBook 725 G3 AMD PRO A8 | 8GB 120GB SSD | 12,5"" 1366 x 768 | Windows 10 Professional [A]",415,a,a,a
"Laptop Dell Latitude 5290 i5 - 8350U | 8GB 256GB SSD | 12,5"" 1366 x 768 | Windows 11 Pro [A-]",649,a,a,a
"Laptop Dell Latitude 5290 i5 - 8350U | 8GB 256GB SSD | 12,5"" 1366 x 768 | Windows 11 Pro [A]",699,a,a,b
"Laptop Fujitsu Lifebook U728 i7 - 8650U | 16GB 480GB SSD | 12,5"" 1920 x 1080 | Windows 10 lub Windows 11 Pro [A-]",799,a,a,b
"Laptop Fujitsu Lifebook P728 i5 - 8250U | 8GB 480GB SSD | 12,5"" 1920 x 1080 | Windows 10 lub 11 Pro [A]",799,a,a,b
"Laptop Fujitsu Lifebook U729 i7 - 8665U | 16GB 480GB SSD | 12,5"" 1920 x 1080 | Windows 11 Pro [A-]",849,a,a,b
"Laptop Dell Latitude 5300 i7 - 8665U | 8GB 256GB SSD | 13,3"" 1366 x 768 | Windows 11 Pro [A-]",549,a,a,a
"Laptop HP EliteBook 830 G5 i5 - 8350U | 8GB 256GB SSD | 13,3"" 1920 x 1080 | Windows 11 Pro [A-]",699,a,a,b
"Laptop Lenovo ThinkPad L390 i5-8265U,  | 8GB 256GB SSD | 13,3"" 1366 x 768 | Windows 11 Pro [A-]",699,a,a,b
"Dotykowy Laptop Toshiba Portege X30L-J | 8GB 256GB SSD | 13,3"" 1920 x 1080 | Windows 11 Pro [A-]",699,a,a,b
"Laptop Dell Latitude 5300 i5 - 8365U | 8GB 256GB SSD | 13,3"" 1366 x 768 | Windows 11 Pro [A-]",699,a,a,b
"Laptop HP EliteBook 830 G5 i5 - 8350U | 8GB 256GB SSD | 13,3"" 1920 x 1080 | Windows 11 Pro [A-]",749,a,a,b
"Laptop HP EliteBook 830 G5 i5 - 8350U | 8GB 256GB SSD | 13,3"" 1920 x 1080 | Windows 11 Pro [A]",799,a,a,b
"Laptop Lenovo ThinkPad L390 i5-8265U,  | 8GB 256GB SSD | 13,3"" 1366 x 768 | Windows 11 Pro [A]",799,a,a,b
"Laptop Dell Latitude 5300 i5 - 8365U | 8GB 256GB SSD | 13,3"" 1366 x 768 | Windows 11 Pro [A]",799,a,a,b
"Laptop HP EliteBook 830 G5 i5 - 8350U | 8GB 256GB SSD | 13,3"" 1920 x 1080 | Windows 11 Pro [A]",849,a,a,b
"Laptop Dell Latitude 3390 2-in-1 i5 - 8250U | 8GB 256GB SSD | 13,3"" 1920 x 1080 | Windows 11 Pro [A-]",849,a,a,b
"Laptop HP EliteBook 830 G6 i7 - 8665U | 8GB 480GB SSD | 13,3"" 1920 x 1080 | Windows 11 Pro [A-]",899,a,a,b
"Laptop HP EliteBook 830 G6 i7 - 8665U | 8GB 480GB SSD | 13,3"" 1920 x 1080 | Windows 11 Pro [A]",899,a,a,b
"Laptop Dell Latitude 5300 i7 - 8665U | 8GB 256GB SSD | 13,3"" 1366 x 768 | Windows 11 Pro [A]",899,a,a,b
"Laptop HP EliteBook mt43 | 8GB 128GB 500GB SSD+HDD | 14"" 1920 x 1080 | Windows 10 lub 11 Pro [A]",500,b,a,a
"Laptop HP EliteBook 745 G3 | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A-]",555,b,a,a
"Laptop Lenovo ThinkPad A475 AMD PRO A1 | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 10 Pro / Windows 11 Pro [A-]",599,b,a,a
"Laptop HP EliteBook 840 G5 i5 - 8350U | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 11 Pro [A-]",749,b,a,b
"Laptop HP EliteBook 840 G6 i5 - 8350U | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 11 Pro [A-]",799,b,a,b
"Laptop Dell Latitude 5400 i5 - 8350U | 16GB 256GB SSD | 14"" 1920 x 1080 | Windows 11 Pro [A-]",799,b,a,b
"Laptop Lenovo ThinkPad T440p i7 - 4700M | 16GB 240GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A]",799,b,a,b
"Laptop Dell Latitude 5490 i5 - 8350U | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 11 Pro [A-]",899,b,a,b
"Laptop Dell Latitude 7490 i5 - 8250U | 8GB 250GB SSD | 14"" 1920 x 1080 | Windows 11 [A-]",899,b,a,b
"Laptop HP EliteBook 840 G5 i5 - 8350U | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 11 Pro [A]",899,b,a,b
"Laptop Dell Latitude 3400 i5 - 8365U | 16GB 480GB 500GB SSD+HDD | 14"" 1920 x 1080 | Windows 11 Pro [A]",899,b,a,b
"Laptop Dell Latitude 5490 i5 - 8350U | 8GB 256GB SSD | 14"" 1366 x 768 | Windows 11 Pro [A-]",899,b,a,b
"Laptop Lenovo ThinkPad T480 i5 - 8350U | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 11 Pro [A-]",900,b,a,b
"Laptop HP EliteBook 840 G6 i5 - 8350U | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 11 Pro [A]",949,b,a,b
"Laptop Dell Latitude 7490 i5 - 8250U | 8GB 250GB SSD | 14"" 1920 x 1080 | Windows 11 [A]",949,b,a,b
"Laptop Dell Latitude 5400 i5 - 8350U | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 11 Pro [A-]",999,b,a,b
"Laptop Dell Latitude 5490 i5 - 8350U | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 11 Pro [A]",999,b,a,b
"Laptop Lenovo ThinkPad T490 i5-8265U,  | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 11 Pro [A-]",1000,b,a,b
"Laptop Lenovo ThinkPad T480 i5 - 8350U | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 11 Pro [A]",1000,b,a,b
"Laptop Lenovo ThinkPad T490 i5-8265U,  | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 11 Pro [A]",1100,b,a,b
"Laptop Lenovo ThinkPad T480 i7 - 8650U | 16GB 480GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A-]",1399,b,a,b
"Laptop Dell Latitude 7410 i7 - 10610 | 16GB 256GB SSD | 14"" 1920 x 1080 | Windows 11 Pro [A-]",1449,b,a,c
